"","","","2018 [2018]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"Guinea [90]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","955.111206","International reliable sources","","US$","1,058.143372","International reliable sources","","US$","1,179.48889","International reliable sources",""
"Guinea-Bissau [175]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","737.582751","International reliable sources","","US$","688.351615","International reliable sources","","US$","668.190171","International reliable sources",""
"Guyana [91]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,145.828152","International reliable sources","","US$","6,609.593401","International reliable sources","","US$","6,956.019415","International reliable sources",""
"Haiti [93]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,422.454485","International reliable sources","","US$","1,243.603856","International reliable sources","","US$","1,359.802536","International reliable sources",""
"Honduras [95]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,510.320234","International reliable sources","","US$","2,574.352135","International reliable sources","","US$","2,405.734997","International reliable sources",""
"Hungary [97]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","16,542.554759","International reliable sources","","US$","16,885.070887","International reliable sources","","US$","16,128.651665","International reliable sources",""
"Iceland [99]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","78,010.245395","International reliable sources","","US$","73,319.963204","International reliable sources","","US$","63,644.018266","International reliable sources",""
"India [100]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,041.440108","International reliable sources","","US$","2,114.982134","International reliable sources","","US$","1,930.971218","International reliable sources",""
"Indonesia [101]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,893.859673","International reliable sources","","US$","4,135.201528","International reliable sources","","US$","3,869.58852","International reliable sources",""
"Iran (Islamic Republic of) [102]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,434.769967","International reliable sources","","US$","7,882.788912","International reliable sources","","US$","11,183.274877","International reliable sources",""
"Iraq [103]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","5,915.851469","International reliable sources","","US$","5,980.628489","International reliable sources","","US$","4,145.863967","International reliable sources",""
"Ireland [104]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","79,905.889623","International reliable sources","","US$","81,745.514055","International reliable sources","","US$","86,250.994153","International reliable sources",""
"Israel [105]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","44,579.201478","International reliable sources","","US$","46,709.354884","International reliable sources","","US$","47,033.586547","International reliable sources",""
"Italy [106]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","34,504.797951","International reliable sources","","US$","33,185.489321","International reliable sources","","US$","31,238.048346","International reliable sources",""
"Jamaica [109]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","5,360.004186","International reliable sources","","US$","5,369.49283","International reliable sources","","US$","4,664.519718","International reliable sources",""
"Japan [110]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","39,597.523136","International reliable sources","","US$","40,586.234684","International reliable sources","","US$","39,989.725509","International reliable sources",""
"Jordan [112]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,308.18107","International reliable sources","","US$","4,405.480596","International reliable sources","","US$","4,282.721671","International reliable sources",""
"Kazakhstan [108]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,789.504209","International reliable sources","","US$","9,792.622196","International reliable sources","","US$","9,111.410501","International reliable sources",""
"Kenya [114]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,794.09181","International reliable sources","","US$","1,912.6233","International reliable sources","","US$","1,878.581192","International reliable sources",""
"Kiribati [83]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,693.864554","International reliable sources","","US$","1,512.972242","International reliable sources","","US$","1,514.569464","International reliable sources",""
"Kuwait [118]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","33,403.900872","International reliable sources","","US$","32,371.986172","International reliable sources","","US$","24,809.039629","International reliable sources",""
"Kyrgyzstan [113]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,312.034714","International reliable sources","","US$","1,382.672572","International reliable sources","","US$","1,185.730193","International reliable sources",""
"Lao People's Democratic Republic [120]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,569.092464","International reliable sources","","US$","2,613.945064","International reliable sources","","US$","2,622.75764","International reliable sources",""
"Latvia [119]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","17,853.126997","International reliable sources","","US$","17,993.397026","International reliable sources","","US$","17,870.510316","International reliable sources",""
"Lebanon [121]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","8,058.444337","International reliable sources","","US$","7,811.922381","International reliable sources","","US$","9,310.161925","International reliable sources",""
"Lesotho [122]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,191.852337","International reliable sources","","US$","1,154.539933","International reliable sources","","US$","1,061.265715","International reliable sources",""
"Liberia [123]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","569.614477","International reliable sources","","US$","522.999168","International reliable sources","","US$","490.519124","International reliable sources",""
"Libya [124]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,414.305512","International reliable sources","","US$","8,827.836565","International reliable sources","","US$","4,242.767174","International reliable sources",""
"Liechtenstein [125]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","180,407.852034","International reliable sources","","US$","175,811.169745","International reliable sources","","US$","180,227.131992","International reliable sources",""
"Lithuania [126]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","19,188.092185","International reliable sources","","US$","19,820.569598","International reliable sources","","US$","20,771.84218","International reliable sources",""
"Luxembourg [256]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","117,973.701723","International reliable sources","","US$","114,004.238058","International reliable sources","","US$","117,181.646629","International reliable sources",""
"Madagascar [129]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","523.945979","International reliable sources","","US$","522.989511","International reliable sources","","US$","469.766309","International reliable sources",""
"Malawi [130]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","544.394114","International reliable sources","","US$","598.329222","International reliable sources","","US$","614.867605","International reliable sources",""
"Malaysia [131]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,377.569225","International reliable sources","","US$","11,414.290367","International reliable sources","","US$","10,401.793199","International reliable sources",""
"Maldives [132]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","10,279.23134","International reliable sources","","US$","10,561.664288","International reliable sources","","US$","6,924.093847","International reliable sources",""
"Mali [133]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","894.805125","International reliable sources","","US$","879.12139","International reliable sources","","US$","855.863188","International reliable sources",""
"Malta [134]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","34,896.726122","International reliable sources","","US$","35,710.558628","International reliable sources","","US$","33,770.790122","International reliable sources",""
"Marshall Islands [127]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,797.001524","International reliable sources","","US$","4,076.159786","International reliable sources","","US$","4,130.1309","International reliable sources",""
"Mauritania [136]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,669.773097","International reliable sources","","US$","1,743.302088","International reliable sources","","US$","1,702.487691","International reliable sources",""
"Mauritius [137]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,191.680901","International reliable sources","","US$","11,062.58346","International reliable sources","","US$","8,586.942672","International reliable sources",""
"Mexico [138]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,686.492811","International reliable sources","","US$","9,946.016618","International reliable sources","","US$","8,325.571218","International reliable sources",""
"Micronesia (Federated States of) [145]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,568.290829","International reliable sources","","US$","3,585.297193","International reliable sources","","US$","3,499.863219","International reliable sources",""
"Monaco [140]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","185,986.077868","International reliable sources","","US$","189,506.773412","International reliable sources","","US$","173,695.772381","International reliable sources",""
"Mongolia [141]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,134.973764","International reliable sources","","US$","4,339.843236","International reliable sources","","US$","4,007.31128","International reliable sources",""
"Montenegro [273]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","8,771.63114","International reliable sources","","US$","8,825.313988","International reliable sources","","US$","7,625.722017","International reliable sources",""
"Montserrat [142]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","12,589.47712","International reliable sources","","US$","13,134.822536","International reliable sources","","US$","13,523.118471","International reliable sources",""
"Morocco [143]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,277.800997","International reliable sources","","US$","3,286.671864","International reliable sources","","US$","3,108.175374","International reliable sources",""
"Mozambique [144]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","503.302094","International reliable sources","","US$","506.817256","International reliable sources","","US$","448.843891","International reliable sources",""
"Myanmar [28]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,370.685748","International reliable sources","","US$","1,374.375238","International reliable sources","","US$","1,291.748968","International reliable sources",""
"Namibia [147]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","5,587.965592","International reliable sources","","US$","5,037.229138","International reliable sources","","US$","4,215.170141","International reliable sources",""
"Nauru [148]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","12,952.541727","International reliable sources","","US$","12,350.926128","International reliable sources","","US$","12,510.366256","International reliable sources",""
"Nepal [149]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,129.421023","International reliable sources","","US$","1,197.825921","International reliable sources","","US$","1,135.287957","International reliable sources",""
"Netherlands [150]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","53,579.543563","International reliable sources","","US$","53,236.674668","International reliable sources","","US$","53,333.657572","International reliable sources",""
"New Caledonia [153]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","35,168.451654","International reliable sources","","US$","33,379.763021","International reliable sources","","US$","34,006.325197","International reliable sources",""
